                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.79062,                0.41358,                 1.0101,                0.99911,                0.94667,                 0.9695,                0.69002,                 1.0991,                0.51785,                  1.146,              0.0006536,              0.0006536,              0.0006536
                     70,                0.81093,                0.42252,                0.99983,                 0.9981,                0.93333,                 0.9675,                0.67772,                 1.1297,                0.55154,                 1.1621,              0.0006338,              0.0006338,              0.0006338
                     71,                0.82228,                0.43791,                 1.0153,                  0.992,                0.94667,                0.97855,                0.68365,                  1.163,                0.50304,                 1.1968,               0.000614,               0.000614,               0.000614
                     72,                0.78769,                0.40907,                0.99429,                 0.9829,                   0.96,                0.97817,                0.69388,                 1.1096,                0.47978,                 1.1688,              0.0005942,              0.0005942,              0.0005942
                     73,                0.81698,                0.41676,                  1.003,                0.99807,                0.94667,                0.96797,                0.68627,                 1.1131,                 0.5035,                 1.1584,              0.0005744,              0.0005744,              0.0005744
                     74,                0.79525,                0.40872,                 1.0074,                0.96828,                   0.96,                 0.9719,                0.68611,                 1.1395,                0.51692,                 1.1701,              0.0005546,              0.0005546,              0.0005546
                     75,                0.79774,                0.41655,                 1.0088,                0.98617,                0.95105,                0.97769,                0.66863,                  1.149,                0.50808,                 1.1981,              0.0005348,              0.0005348,              0.0005348
                     76,                0.75517,                0.38731,                 0.9953,                0.98627,                0.95793,                 0.9683,                0.67096,                 1.1289,                0.48663,                 1.1769,               0.000515,               0.000515,               0.000515
                     77,                0.74187,                0.38523,                0.97295,                0.99713,                0.94667,                0.97174,                0.70291,                 1.0926,                0.50427,                 1.1471,              0.0004952,              0.0004952,              0.0004952
                     78,                0.73985,                0.38555,                0.98704,                0.98275,                0.94667,                0.96898,                0.69256,                 1.1016,                0.51567,                  1.162,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.7475,                0.39342,                0.98707,                0.98618,                0.95148,                0.97093,                0.71482,                 1.1041,                 0.5266,                 1.1701,              0.0004556,              0.0004556,              0.0004556
                     80,                0.73723,                0.38994,                0.98376,                0.99529,                0.94667,                0.96948,                0.70109,                 1.1425,                 0.5389,                 1.1841,              0.0004358,              0.0004358,              0.0004358
                     81,                0.73209,                0.38524,                0.98266,                  0.997,                0.94667,                0.96985,                 0.7004,                 1.1205,                0.56281,                 1.1808,               0.000416,               0.000416,               0.000416
                     82,                0.71877,                0.37528,                0.96692,                0.99636,                0.94667,                  0.969,                0.70953,                 1.0564,                0.49754,                 1.1483,              0.0003962,              0.0003962,              0.0003962
                     83,                0.71687,                0.37745,                0.97615,                0.99294,                0.94667,                0.97964,                0.70994,                 1.0979,                0.55125,                 1.1713,              0.0003764,              0.0003764,              0.0003764
